!ID,,!catalog_number,!bd_catalog_number,!digital_catalog_number,!line,!post_title,!bd_audio_mix,!bd_canadian_price,!bd_configuration,!bd_consumer_srp,!bd_disc_type,!bd_dvd_features,!bd_frame_rate,!bd_isbn,!bd_prebook_date,!bd_running_time,!bd_street_date,!bd_subtitles,!bd_upc,!digital_running_time,!digital_street_date,!amazon_link,!itunes_link,!youtube_link,!hulu_link,!playstation_link,!slingbox_link,!xbox_link,!snagfilm_link,!tvcom_link,!vudu_link,!cinema_now
92,NNVG114771,NNVG114771,,NNVG1152,DOC,The Brandon Teena Story,,,,,,,,,,,,,,88 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D297434965%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,http://www.hulu.com/the-brandon-teena-story,,,,,,,
175,NNVG115041,NNVG115041,,NNVG8406,DOC,King Corn,,,,,,,,,,,,,,90 mins,04/29/2008,http://www.amazon.com/King-Corn/dp/B003F9QBXS/ref=sr_1_2?ie=UTF8&s=digital-video&qid=1277410420&sr=1-2,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D278886673%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,http://www.youtube.com/watch?v=Ex-8r0UcWLY,,,,,,,http://www.vudu.com/movies/Movies.html#ContentDefaultPlace:185528,"http://www.cinemanow.com/Rent/Movies/10471,0,5,,1,4,0/1000,0,5,,1,4,395643/King-Corn.htm"
131,NNVG115871,NNVG115871,,NNVG8752,DOC,Fall From Grace,,,,,,,,,,,,,,87 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Ffall-from-grace%252Fid290164002%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
304,NNVG116701,NNVG116701,,NNVG8791,DOC,Virginia Lee Burton: A Sense of Place,,,,,,,,,,,,,,87 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fvirginia-lee-burton-a-sense%252Fid287476435%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
10532,NNVG116710,NNVG116710,,NNVG8749,DOC,Cine Manifest,,,,,,,,,,,,,,75 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fcine-manifest%252Fid290136272%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
228,NNVG116730,NNVG116730,,NNVG8789,DOC,Passing Poston,,,,,,,,,,,,,,105 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fpassing-poston%252Fid288944005%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
183,NNVG116770,NNVG116770,,NNVG8786,DOC,Liberia: An Uncivil War,,,,,,,,,,,,,,102 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fliberia-an-uncivil-war%252Fid289165716%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
133,NNVG116780,NNVG116780,,NNVG8753,DOC,Family Name,,,,,,,,,,,,,,89 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Ffamily-name%252Fid290384923%253Fuo%253D4%2526partnerId%253D30,,,,,,,,,
238,NNVG116790,NNVG116790,,NNVG8790,DOC,Questioning Faith,,,,,,,,,,,,,,84 min,09/23/2008,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fmovie%252Fquestioning-faith%252Fid287893961%253Fuo%253D4%2526partnerId%253D30,,,,,,http://www.snagfilms.com/films/title/questioning_faith/,,,
243,NNVG131791,NNVG131791,,NNVG1139,DOC,Reverend Billy and the Church of Stop Shopping,,,,,,,,,,,,,,60 min,,,http://click.linksynergy.com/fs-bin/stat?id=ccUl/Cc0tjI&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252FWebObjects%252FMZStore.woa%252Fwa%252FviewMovie%253Fid%253D296766394%2526s%253D143441%2526uo%253D6%2526partnerId%253D30,,,,,,,,,
